ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
CHIAPAS,chiapas-maravilla tenejapa-ninos heroes,chiapas-maravilla tenejapa-maravilla tenejapa,chiapas-maravilla tenejapa-maravilla tenejapa
CHIAPAS,chiapas-teopisca-lindavista,chiapas-teopisca-teopisca,chiapas-teopisca-teopisca
CHIAPAS,chiapas-cintalapa-san sebastian,chiapas-cintalapa de figueroa-san sebastian,chiapas-cintalapa de figueroa-san sebastian
CHIAPAS,chiapas-cintalapa-jorge de la vega dominguez (las pavas),chiapas-cintalapa de figueroa-jorge de la vega dominguez (las pavas),chiapas-cintalapa de figueroa-jorge de la vega dominguez (las pavas)
CHIAPAS,chiapas-cintalapa-pimienta berlin,chiapas-cintalapa de figueroa-pimienta berlin,chiapas-cintalapa de figueroa-pimienta berlin
CHIAPAS,chiapas-cintalapa-la florida,chiapas-cintalapa de figueroa-la florida,chiapas-cintalapa de figueroa-la florida
CHIAPAS,chiapas-cintalapa-nueva liberacion,chiapas-cintalapa de figueroa-nueva liberacion,chiapas-cintalapa de figueroa-nueva liberacion
CHIAPAS,chiapas-mapastepec-adolfo lopez mateos,chiapas-mapastepec-mapastepec,chiapas-mapastepec-mapastepec
CHIAPAS,chiapas-cintalapa-ninos heroes,chiapas-cintalapa de figueroa-ninos heroes,chiapas-cintalapa de figueroa-ninos heroes
CHIAPAS,chiapas-zinacantan-potojtic,chiapas-zinacantan-potobtic,chiapas-zinacantan-potobtic
CHIAPAS,chiapas-cintalapa-14 de febrero,chiapas-cintalapa de figueroa-14 de febrero,chiapas-cintalapa de figueroa-14 de febrero
CHIAPAS,chiapas-cintalapa-el porvenir,chiapas-cintalapa de figueroa-el porvenir,chiapas-cintalapa de figueroa-el porvenir
CHIAPAS,chiapas-cintalapa-el porvenir,chiapas-cintalapa de figueroa-el porvenir,chiapas-cintalapa de figueroa-el porvenir
CHIAPAS,chiapas-cintalapa-el porvenir,chiapas-cintalapa de figueroa-el porvenir,chiapas-cintalapa de figueroa-el porvenir
CHIAPAS,chiapas-cintalapa-el porvenir,chiapas-cintalapa de figueroa-el porvenir,chiapas-cintalapa de figueroa-el porvenir
CHIAPAS,chiapas-cintalapa-el porvenir,chiapas-cintalapa de figueroa-el porvenir,chiapas-cintalapa de figueroa-el porvenir
CHIAPAS,chiapas-cintalapa-el porvenir,chiapas-cintalapa de figueroa-el porvenir,chiapas-cintalapa de figueroa-el porvenir
CHIAPAS,chiapas-cintalapa-el porvenir,chiapas-cintalapa de figueroa-el porvenir,chiapas-cintalapa de figueroa-el porvenir
CHIAPAS,chiapas-cintalapa-san luis,chiapas-cintalapa de figueroa-san luis,chiapas-cintalapa de figueroa-san luis
CHIAPAS,chiapas-cintalapa-san luis,chiapas-cintalapa de figueroa-san luis,chiapas-cintalapa de figueroa-san luis
CHIAPAS,chiapas-cintalapa-san luis,chiapas-cintalapa de figueroa-san luis,chiapas-cintalapa de figueroa-san luis
CHIAPAS,chiapas-cintalapa-san luis,chiapas-cintalapa de figueroa-san luis,chiapas-cintalapa de figueroa-san luis
CHIAPAS,chiapas-cintalapa-san luis,chiapas-cintalapa de figueroa-san luis,chiapas-cintalapa de figueroa-san luis
CHIAPAS,chiapas-sabanilla-el calvario,chiapas-sabanilla-sabanilla,chiapas-sabanilla-sabanilla
CHIAPAS,chiapas-cintalapa-nueva libertad,chiapas-cintalapa de figueroa-nueva libertad,chiapas-cintalapa de figueroa-nueva libertad
CHIAPAS,chiapas-cintalapa-rancho escondido,chiapas-cintalapa de figueroa-rancho escondido,chiapas-cintalapa de figueroa-rancho escondido
CHIAPAS,chiapas-cintalapa-rancho escondido,chiapas-cintalapa de figueroa-rancho escondido,chiapas-cintalapa de figueroa-rancho escondido
CHIAPAS,chiapas-cintalapa-rancho escondido,chiapas-cintalapa de figueroa-rancho escondido,chiapas-cintalapa de figueroa-rancho escondido
CHIAPAS,chiapas-sabanilla-el paraiso,chiapas-sabanilla-sabanilla,chiapas-sabanilla-sabanilla
CHIAPAS,chiapas-cintalapa-nueva reforma (el recreo),chiapas-cintalapa de figueroa-nueva reforma (el recreo),chiapas-cintalapa de figueroa-nueva reforma (el recreo)
CHIAPAS,chiapas-zinacantan-gechvo,chiapas-zinacantan-jechvo,chiapas-zinacantan-jechvo
CHIAPAS,chiapas-chenalho-takiukum,chiapas-chenalho-chenalho,chiapas-chenalho-chenalho
CHIAPAS,chiapas-zinacantan-chajtoj,chiapas-zinacantan-chactoj,chiapas-zinacantan-chactoj
CHIAPAS,chiapas-solosuchiapa-francisco i. madero,chiapas-solosuchiapa-solosuchiapa,chiapas-solosuchiapa-solosuchiapa
CHIAPAS,chiapas-frontera hidalgo-santa lucia uno,chiapas-frontera hidalgo-frontera hidalgo,chiapas-frontera hidalgo-frontera hidalgo
CHIAPAS,chiapas-frontera hidalgo-santa lucia uno,chiapas-frontera hidalgo-frontera hidalgo,chiapas-frontera hidalgo-frontera hidalgo
CHIAPAS,chiapas-chiapa de corzo-felipe carrillo puerto,chiapas-chiapa de corzo-chiapa de corzo,chiapas-chiapa de corzo-chiapa de corzo
CHIAPAS,chiapas-tonala-juan sabines gutierrez (ruben marquez),chiapas-acacoyagua-acacoyagua,chiapas-acacoyagua-acacoyagua
CHIAPAS,chiapas-yajalon-lazaro cardenas,chiapas-yajalon-yajalon,chiapas-yajalon-yajalon
CHIAPAS,chiapas-suchiate-lucio cabana,chiapas-suchiate-lucio cabanas,chiapas-suchiate-lucio cabanas
CHIAPAS,chiapas-cintalapa-monte sinai dos (los horcones),chiapas-cintalapa de figueroa-monte sinai dos (los horcones),chiapas-cintalapa de figueroa-monte sinai dos (los horcones)
CHIAPAS,chiapas-soyalo-adolfo lopez mateos,chiapas-acala-adolfo lopez mateos,chiapas-acala-adolfo lopez mateos
CHIAPAS,chiapas-cintalapa-nuevas maravillas,chiapas-cintalapa de figueroa-nuevas maravillas,chiapas-cintalapa de figueroa-nuevas maravillas
CHIAPAS,chiapas-comitan de dominguez-ajayaxh,chiapas-comitan de dominguez-ajayaxch,chiapas-comitan de dominguez-ajayaxch
CHIAPAS,chiapas-pueblo nuevo solistahuacan-los angeles,chiapas-pueblo nuevo solistahuacan-pueblo nuevo solistahuacan,chiapas-pueblo nuevo solistahuacan-pueblo nuevo solistahuacan
CHIAPAS,chiapas-cintalapa-las palmas,chiapas-cintalapa de figueroa-las palmas,chiapas-cintalapa de figueroa-las palmas
CHIAPAS,chiapas-cintalapa-las palmas,chiapas-cintalapa de figueroa-las palmas,chiapas-cintalapa de figueroa-las palmas
CHIAPAS,chiapas-cintalapa-las palmas,chiapas-cintalapa de figueroa-las palmas,chiapas-cintalapa de figueroa-las palmas
CHIAPAS,chiapas-cintalapa-las palmas,chiapas-cintalapa de figueroa-las palmas,chiapas-cintalapa de figueroa-las palmas
CHIAPAS,chiapas-cintalapa-las palmas,chiapas-cintalapa de figueroa-las palmas,chiapas-cintalapa de figueroa-las palmas
CHIAPAS,chiapas-solosuchiapa-alvaro obregon,chiapas-solosuchiapa-solosuchiapa,chiapas-solosuchiapa-solosuchiapa
CHIAPAS,chiapas-tuxtla gutierrez-lacandon,chiapas-tuxtla gutierrez-tuxtla gutierrez,chiapas-tuxtla gutierrez-tuxtla gutierrez
CHIAPAS,chiapas-larrainzar-sak puk 'ano,chiapas-larrainzar-sakpuk'ano',chiapas-larrainzar-sakpuk'ano'
CHIAPAS,chiapas-mazapa de madero-verdad del triunfo,chiapas-mazapa de madero-la verdad el triunfo,chiapas-mazapa de madero-la verdad el triunfo
CHIAPAS,chiapas-cintalapa-el tuzal,chiapas-cintalapa de figueroa-el tuzal,chiapas-cintalapa de figueroa-el tuzal
CHIAPAS,chiapas-la independencia-el naranjo,chiapas-la independencia-la independencia,chiapas-la independencia-la independencia
CHIAPAS,chiapas-francisco leon-santo domingo,chiapas-francisco leon-san francisco,chiapas-francisco leon-san francisco
