ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
OAXACA,oaxaca-heroica ciudad de juchitan de zaragoza-rancho de los vasquez (colonia palomar),oaxaca-juchitan de zaragoza-rancho de los vasquez (colonia palomar),oaxaca-juchitan de zaragoza-rancho de los vasquez (colonia palomar)
OAXACA,oaxaca-miahuatlan de porfirio diaz-agua blanca,oaxaca-miahuatlan de porfirio diaz-miahuatlan de porfirio diaz,oaxaca-miahuatlan de porfirio diaz-miahuatlan de porfirio diaz
OAXACA,oaxaca-san juan mazatlan-madero,oaxaca-san juan mazatlan-san juan mazatlan,oaxaca-san juan mazatlan-san juan mazatlan
OAXACA,oaxaca-san francisco ixhuatan-20 de noviembre (el morro),oaxaca-san francisco ixhuatan-san francisco ixhuatan,oaxaca-san francisco ixhuatan-san francisco ixhuatan
OAXACA,oaxaca-santa cruz zenzontepec-el carrizal,oaxaca-santa cruz zenzontepec-santa cruz zenzontepec,oaxaca-santa cruz zenzontepec-santa cruz zenzontepec
OAXACA,oaxaca-san lucas ojitlan-paso limon (nuevo paso limon),oaxaca-san lucas ojitlan-san lucas ojitlan,oaxaca-san lucas ojitlan-san lucas ojitlan
OAXACA,oaxaca-ocotlan de morelos-buenavista,oaxaca-ocotlan de morelos-ocotlan de morelos,oaxaca-ocotlan de morelos-ocotlan de morelos
OAXACA,oaxaca-heroica ciudad de juchitan de zaragoza-parada san vicente,oaxaca-juchitan de zaragoza-juchitan de zaragoza,oaxaca-juchitan de zaragoza-juchitan de zaragoza
OAXACA,oaxaca-san pedro y san pablo teposcolula-guadalupe tiza,oaxaca-san pedro y san pablo teposcolula-guadalupe tixa,oaxaca-san pedro y san pablo teposcolula-guadalupe tixa
OAXACA,"oaxaca-heroica villa tezoatlan de segura y luna, cuna de la independencia de oaxaca-rosario nuevo","oaxaca-heroica villa tezoatlan de segura y luna, cuna de la independencia de oaxaca-rosario de nuevo","oaxaca-heroica villa tezoatlan de segura y luna, cuna de la independencia de oaxaca-rosario de nuevo"
OAXACA,oaxaca-san juan mazatlan-el pipila,oaxaca-san juan mazatlan-san juan mazatlan,oaxaca-san juan mazatlan-san juan mazatlan
OAXACA,oaxaca-villa de tututepec de melchor ocampo-san jose manialtepec,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-santiago huajolotitlan-lazaro cardenas,oaxaca-santiago huajolotitlan-santiago huajolotitlan,oaxaca-santiago huajolotitlan-santiago huajolotitlan
OAXACA,oaxaca-villa de tututepec de melchor ocampo-san francisco de arriba,oaxaca-villa de tututepec-san francisco de arriba,oaxaca-villa de tututepec-san francisco de arriba
OAXACA,oaxaca-santo domingo tehuantepec-guadalupe hinojosa de murat [fraccionamiento],oaxaca-santo domingo tehuantepec-santo domingo tehuantepec,oaxaca-santo domingo tehuantepec-santo domingo tehuantepec
OAXACA,oaxaca-santiago ixtayutla-villa nueva,oaxaca-santiago ixtayutla-santiago ixtayutla,oaxaca-santiago ixtayutla-santiago ixtayutla
OAXACA,oaxaca-san andres dinicuiti-la reforma,oaxaca-san andres dinicuiti-reforma,oaxaca-san andres dinicuiti-reforma
OAXACA,oaxaca-villa de tututepec de melchor ocampo-plan de reforma,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-el espinal-ingenio juchitan (jose lopez portillo),oaxaca-abejones-abejones,oaxaca-abejones-abejones
OAXACA,oaxaca-santo domingo tehuantepec-25 de enero [fraccionamiento],oaxaca-santo domingo tehuantepec-santo domingo tehuantepec,oaxaca-santo domingo tehuantepec-santo domingo tehuantepec
OAXACA,oaxaca-santa maria atzompa-la canada,oaxaca-santa maria atzompa-la canadita,oaxaca-santa maria atzompa-la canadita
