ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
GUERRERO,guerrero-ayutla de los libres-cumbres de yolotepec,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-chilapa de alvarez-la villa,guerrero-chilapa de alvarez-chilapa de alvarez,guerrero-chilapa de alvarez-chilapa de alvarez
GUERRERO,guerrero-zirandaro-parota del cuartel,guerrero-zirandaro-la parota del cuartel,guerrero-zirandaro-la parota del cuartel
GUERRERO,guerrero-coyuca de catalan-el naranjo,guerrero-coyuca de catalan-coyuca de catalan,guerrero-coyuca de catalan-coyuca de catalan
GUERRERO,guerrero-martir de cuilapan-ahuexotitlan,guerrero-martir de cuilapan-hueyitlalpan,guerrero-martir de cuilapan-hueyitlalpan
GUERRERO,guerrero-jose joaquin de herrera-tierra blanca,guerrero-jose joaquin de herrera-la laguna,guerrero-jose joaquin de herrera-la laguna
GUERRERO,guerrero-quechultenango-santa cruz,guerrero-quechultenango-quechultenango,guerrero-quechultenango-quechultenango
GUERRERO,guerrero-metlatonoc-francisco i. madero,guerrero-metlatonoc-metlatonoc,guerrero-metlatonoc-metlatonoc
GUERRERO,guerrero-xochistlahuaca-guadalupe victoria,guerrero-xochistlahuaca-guadalupe victoria ii,guerrero-xochistlahuaca-guadalupe victoria ii
GUERRERO,guerrero-acapulco de juarez-el puente,guerrero-acapulco de juarez-acapulco de juarez,guerrero-acapulco de juarez-acapulco de juarez
GUERRERO,guerrero-taxco de alarcon-los cajones,guerrero-taxco de alarcon-taxco de alarcon,guerrero-taxco de alarcon-taxco de alarcon
GUERRERO,guerrero-san marcos-buena vista del sur,guerrero-san marcos-san marcos,guerrero-san marcos-san marcos
GUERRERO,guerrero-teloloapan-colotepec,guerrero-teloloapan-teloloapan,guerrero-teloloapan-teloloapan
GUERRERO,guerrero-la union de isidoro montes de oca-el cedral,guerrero-la union de isidoro montes de oca-el jaral,guerrero-la union de isidoro montes de oca-el jaral
GUERRERO,guerrero-arcelia-el aguacate,guerrero-arcelia-arcelia,guerrero-arcelia-arcelia
GUERRERO,guerrero-tecoanapa-las palmitas,guerrero-tecoanapa-tecoanapa,guerrero-tecoanapa-tecoanapa
GUERRERO,guerrero-chilapa de alvarez-la providencia,guerrero-chilapa de alvarez-chilapa de alvarez,guerrero-chilapa de alvarez-chilapa de alvarez
GUERRERO,guerrero-iguala de la independencia-colonia rancho del cura (el cura),guerrero-iguala de la independencia-iguala de la independencia,guerrero-iguala de la independencia-iguala de la independencia
GUERRERO,guerrero-zirandaro-los cimientos,guerrero-zirandaro-los medios,guerrero-zirandaro-los medios
GUERRERO,guerrero-la union de isidoro montes de oca-el aguila,guerrero-la union de isidoro montes de oca-lagunillas,guerrero-la union de isidoro montes de oca-lagunillas
GUERRERO,guerrero-san marcos-las lomitas de nexpa (las lomitas),guerrero-san marcos-las lomitas de papagayo,guerrero-san marcos-las lomitas de papagayo
GUERRERO,guerrero-ayutla de los libres-san felipe,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-ayutla de los libres-la angostura,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
