KEY_benef_loc;match_score;KEY_inegi_localidad
coyuca de benitez-yetla;100;coyuca de benitez-yetla
coyuca de benitez-platanillo;100;coyuca de benitez-platanillo
tlapehuala-san jose poliutla;100;tlapehuala-san jose poliutla
coahuayutla de jose maria izazaga-el aguacate;100;coahuayutla de jose maria izazaga-el aguacate
tecpan de galeana-san luis san pedro;100;tecpan de galeana-san luis san pedro
ahuacuotzingo-ajuatetla;100;ahuacuotzingo-ajuatetla
chilapa de alvarez-ayahualulco;100;chilapa de alvarez-ayahualulco
arcelia-achotla;100;arcelia-achotla
zitlala-ocotitlan;100;zitlala-ocotitlan
tecpan de galeana-santa maria;100;tecpan de galeana-santa maria
tecpan de galeana-el cobano;100;tecpan de galeana-el cobano
teloloapan-oxtotitlan;100;teloloapan-oxtotitlan
pedro ascencio alquisiras-yahualtengo;100;pedro ascencio alquisiras-yahualtengo
chilapa de alvarez-chilapa de alvarez;100;chilapa de alvarez-chilapa de alvarez
san luis acatlan-el carmen;100;san luis acatlan-el carmen
general heliodoro castillo-tlacotepec;100;general heliodoro castillo-tlacotepec
atenango del rio-tequicuilco;100;atenango del rio-tequicuilco
tecoanapa-lagunillas;100;tecoanapa-lagunillas
san luis acatlan-poza verde;100;san luis acatlan-poza verde
chilpancingo de los bravo-amojileca;100;chilpancingo de los bravo-amojileca
chilapa de alvarez-matlala;100;chilapa de alvarez-matlala
zitlala-las trancas;100;zitlala-las trancas
zitlala-cuapexco;100;zitlala-cuapexco
zitlala-zitlala;100;zitlala-zitlala
olinala-la libertad;100;olinala-la libertad
cocula-apipilulco;100;cocula-apipilulco
ayutla de los libres-tutepec;100;ayutla de los libres-tutepec
copanatoyac-copanatoyac;100;copanatoyac-copanatoyac
cuautepec-san jose las palmas (san jose);100;cuautepec-san jose las palmas (san jose)
ahuacuotzingo-tecolcuautla;100;ahuacuotzingo-tecolcuautla
zitlala-tlaltempanapa;100;zitlala-tlaltempanapa
zitlala-tlapehualapa;100;zitlala-tlapehualapa
chilpancingo de los bravo-chilpancingo de los bravo;100;chilpancingo de los bravo-chilpancingo de los bravo
teloloapan-santa cruz union;100;teloloapan-santa cruz union
tecpan de galeana-vuelta del barco;100;tecpan de galeana-vuelta del barco
ayutla de los libres-ayutla de los libres;100;ayutla de los libres-ayutla de los libres
tecoanapa-tecoanapa;100;tecoanapa-tecoanapa
quechultenango-zinacantla;100;quechultenango-zinacantla
quechultenango-colonia vicente guerrero;100;quechultenango-colonia vicente guerrero
petatlan-petatlan;100;petatlan-petatlan
ayutla de los libres-los tepetates;100;ayutla de los libres-los tepetates
pedro ascencio alquisiras-ixcapuzalco;100;pedro ascencio alquisiras-ixcapuzalco
pedro ascencio alquisiras-tlanilpa;100;pedro ascencio alquisiras-tlanilpa
pedro ascencio alquisiras-la gavia;100;pedro ascencio alquisiras-la gavia
pedro ascencio alquisiras-cerro de zacahuixtepec;100;pedro ascencio alquisiras-cerro de zacahuixtepec
apaxtla-cacalotepec;100;apaxtla-cacalotepec
teloloapan-teloloapan;100;teloloapan-teloloapan
san miguel totolapan-san juan tehuehuetla (capulin tehuehuetla);100;san miguel totolapan-san juan tehuehuetla (capulin tehuehuetla)
pedro ascencio alquisiras-zacatlan grande;100;pedro ascencio alquisiras-zacatlan grande
leonardo bravo-el balzamar;100;leonardo bravo-el balzamar
zihuatanejo de azueta-arroyo seco;100;zihuatanejo de azueta-arroyo seco
quechultenango-pueblo viejo;100;quechultenango-pueblo viejo
chilapa de alvarez-popocatzin;100;chilapa de alvarez-popocatzin
chilapa de alvarez-crucero alto;100;chilapa de alvarez-crucero alto
chilapa de alvarez-samacingo;100;chilapa de alvarez-samacingo
ahuacuotzingo-oxtotitlan;100;ahuacuotzingo-oxtotitlan
coahuayutla de jose maria izazaga-san rafael (san rafael de lopez);100;coahuayutla de jose maria izazaga-san rafael (san rafael de lopez)
tlalchapa-colonia cuauhtemoc;100;tlalchapa-colonia cuauhtemoc
ayutla de los libres-chacalinitla;100;ayutla de los libres-chacalinitla
marquelia-la ceniza (loma de romero);100;marquelia-la ceniza (loma de romero)
coyuca de benitez-las lomitas;100;coyuca de benitez-las lomitas
juan r. escudero-san juan del reparo sur (san juan del reparo);100;juan r. escudero-san juan del reparo sur (san juan del reparo)
tecpan de galeana-san luis de la loma;100;tecpan de galeana-san luis de la loma
cuautepec-san antonio (el crucero);100;cuautepec-san antonio (el crucero)
tecpan de galeana-las fincas viejas;100;tecpan de galeana-las fincas viejas
tecpan de galeana-arroyo grande;100;tecpan de galeana-arroyo grande
ayutla de los libres-la concordia;100;ayutla de los libres-la concordia
chilapa de alvarez-ahuixtla;100;chilapa de alvarez-ahuixtla
coyuca de benitez-san jose mogollon;100;coyuca de benitez-san jose mogollon
apaxtla-zacapostepec;100;apaxtla-zacapostepec
acapulco de juarez-kilometro 45;100;acapulco de juarez-kilometro 45
acapulco de juarez-piedra iman;100;acapulco de juarez-piedra iman
quechultenango-tlanicuilulco;100;quechultenango-tlanicuilulco
chilapa de alvarez-acalco;100;chilapa de alvarez-acalco
mochitlan-zintlanapa;100;mochitlan-zintlanapa
benito juarez-san jeronimo de juarez;100;benito juarez-san jeronimo de juarez
acapulco de juarez-kilometro 30;100;acapulco de juarez-kilometro 30
cuautepec-las parotas;100;cuautepec-las parotas
coyuca de benitez-san salvador de las pozas;100;coyuca de benitez-san salvador de las pozas
huitzuco de los figueroa-xoyacuautla;100;huitzuco de los figueroa-xoyacuautla
acapulco de juarez-dos arroyos;100;acapulco de juarez-dos arroyos
ayutla de los libres-la haciendita;100;ayutla de los libres-la haciendita
tecoanapa-ochoapa;100;tecoanapa-ochoapa
chilapa de alvarez-tlamixtlahuacan;100;chilapa de alvarez-tlamixtlahuacan
atlixtac-petatlan;100;atlixtac-petatlan
atoyac de alvarez-san juan de las flores;100;atoyac de alvarez-san juan de las flores
quechultenango-las palmitas;100;quechultenango-las palmitas
quechultenango-el cocoyul;100;quechultenango-el cocoyul
ayutla de los libres-el vano;100;ayutla de los libres-el vano
ayutla de los libres-el cortijo;100;ayutla de los libres-el cortijo
tixtla de guerrero-zacatzonapa;100;tixtla de guerrero-zacatzonapa
juan r. escudero-tierra colorada;100;juan r. escudero-tierra colorada
tecoanapa-los magueyitos;100;tecoanapa-los magueyitos
tecoanapa-cruz quemada;100;tecoanapa-cruz quemada
ayutla de los libres-san antonio abad;100;ayutla de los libres-san antonio abad
teloloapan-cacahuatlan;100;teloloapan-cacahuatlan
teloloapan-tlalpexco;100;teloloapan-tlalpexco
huitzuco de los figueroa-pololcingo;100;huitzuco de los figueroa-pololcingo
tecpan de galeana-sierrita de los uriostegui;100;tecpan de galeana-sierrita de los uriostegui
tecpan de galeana-el cacao;100;tecpan de galeana-el cacao
ayutla de los libres-san jose la hacienda;100;ayutla de los libres-san jose la hacienda
cuautepec-coacoyulichan;100;cuautepec-coacoyulichan
cuautepec-cuautepec;100;cuautepec-cuautepec
ayutla de los libres-colotepec;100;ayutla de los libres-colotepec
ayutla de los libres-plan del bajio;100;ayutla de los libres-plan del bajio
quechultenango-niyantitlan;100;quechultenango-niyantitlan
quechultenango-llano grande;100;quechultenango-llano grande
copanatoyac-el crucero de oztocingo;100;copanatoyac-el crucero de oztocingo
atoyac de alvarez-el paraiso;100;atoyac de alvarez-el paraiso
olinala-olinala;100;olinala-olinala
tecpan de galeana-el cuajilote;100;tecpan de galeana-el cuajilote
cuajinicuilapa-barajillas (barajilla);100;cuajinicuilapa-barajillas (barajilla)
ahuacuotzingo-tecozajca (tepehuaje);100;ahuacuotzingo-tecozajca (tepehuaje)
chilapa de alvarez-zacapexco;100;chilapa de alvarez-zacapexco
ayutla de los libres-el meson;100;ayutla de los libres-el meson
tlacoapa-totomixtlahuaca;100;tlacoapa-totomixtlahuaca
quechultenango-santa cruz;100;quechultenango-santa cruz
general heliodoro castillo-barrio nuevo;100;general heliodoro castillo-barrio nuevo
tixtla de guerrero-tixtla de guerrero;100;tixtla de guerrero-tixtla de guerrero
tecpan de galeana-tenexpa;100;tecpan de galeana-tenexpa
pedro ascencio alquisiras-rancho viejo;100;pedro ascencio alquisiras-rancho viejo
chilapa de alvarez-trigomila;100;chilapa de alvarez-trigomila
juan r. escudero-el terrero;100;juan r. escudero-el terrero
arcelia-el ocotito;100;arcelia-el ocotito
general heliodoro castillo-naranjito zapotitla (naranjito);100;general heliodoro castillo-naranjito zapotitla (naranjito)
tlapa de comonfort-ahuatepec ejido;100;tlapa de comonfort-ahuatepec ejido
atoyac de alvarez-las trincheras;100;atoyac de alvarez-las trincheras
chilapa de alvarez-zelocotitlan;100;chilapa de alvarez-zelocotitlan
juan r. escudero-tlayolapa;100;juan r. escudero-tlayolapa
ayutla de los libres-pozolapa;100;ayutla de los libres-pozolapa
cuautepec-santa clara;100;cuautepec-santa clara
chilapa de alvarez-rancho coaquimixco;100;chilapa de alvarez-rancho coaquimixco
chilapa de alvarez-coaquimixco;100;chilapa de alvarez-coaquimixco
tlapa de comonfort-chiepetepec;100;tlapa de comonfort-chiepetepec
chilapa de alvarez-santa cruz (zacazonapa);100;chilapa de alvarez-santa cruz (zacazonapa)
quechultenango-san martin;100;quechultenango-san martin
ayutla de los libres-tonala;100;ayutla de los libres-tonala
tecpan de galeana-villa rotaria;100;tecpan de galeana-villa rotaria
pedro ascencio alquisiras-rancho nuevo;100;pedro ascencio alquisiras-rancho nuevo
atoyac de alvarez-el quemado;100;atoyac de alvarez-el quemado
ahuacuotzingo-tecoanapa;100;ahuacuotzingo-tecoanapa
tecpan de galeana-tierras blancas;100;tecpan de galeana-tierras blancas
atoyac de alvarez-plan de los molinos;100;atoyac de alvarez-plan de los molinos
copanatoyac-totohuehuetlan;100;copanatoyac-totohuehuetlan
atlixtac-los mesones;100;atlixtac-los mesones
leonardo bravo-yextla;100;leonardo bravo-yextla
ayutla de los libres-el salto;100;ayutla de los libres-el salto
pedro ascencio alquisiras-santiago salinas;100;pedro ascencio alquisiras-santiago salinas
huamuxtitlan-san miguel totolapa;100;huamuxtitlan-san miguel totolapa
mochitlan-mochitlan;100;mochitlan-mochitlan
ahuacuotzingo-pochutla;100;ahuacuotzingo-pochutla
chilpancingo de los bravo-julian blanco (dos caminos);100;chilpancingo de los bravo-julian blanco (dos caminos)
olinala-el progreso (chupandillo);100;olinala-el progreso (chupandillo)
ahuacuotzingo-tenanzintitlan (la hacienda);100;ahuacuotzingo-tenanzintitlan (la hacienda)
ayutla de los libres-tlalapa;100;ayutla de los libres-tlalapa
